æJudul (Title),Penulis (Author),Genre,Rating (dari 5),Summary
Rahasia Meede: Misteri Harta Karun VOC,E.S. Ito,Misteri/Thriller,4.05,Mengungkap misteri dan perburuan harta karun legendaris peninggalan VOC yang tersembunyi di Indonesia.
Dua Dini Hari,Chandra Bientang,Thriller,4.15,"Kisah thriller yang kompleks dan menegangkan, berlatar peristiwa mencekam yang dimulai tepat pada pukul dua dini hari."
Misteri Patung Garam,S. Mara Gd,Misteri,3.9,Investigasi seorang detektif terhadap patung garam yang aneh dan menyimpan rahasia gelap yang berkaitan dengan masa lalu.
24 Jam Bersama,Fiersa Besari,Thriller/Drama,4,Sebuah kisah tegang dan emosional yang menceritakan serangkaian peristiwa penting yang harus diselesaikan dalam waktu 24 jam.
Pemburu Halimun,Ruwi Meita,Thriller/Aksi,4.1,"Petualangan berbahaya seorang pemburu yang terjebak dalam kabut misterius di pegunungan, penuh dengan intrik dan bahaya yang tak terduga."
Negara Kelima,Muhammad Husein Heikal,Thriller/Politik,3.95,"Konspirasi tingkat tinggi di sebuah negara fiksi 'Kelima', di mana intrik politik dan kekuasaan mengancam stabilitas negara."
Rumah Lebah,Darwis Tere Liye,Misteri/Drama,4.08,"Misteri tersembunyi di balik sebuah rumah yang dikenal sebagai 'rumah lebah,' mengungkap rahasia keluarga yang telah lama terkubur."
Playing Victim,Diana R.,Psychological Thriller,4.12,"Kisah gelap tentang seseorang yang manipulatif, memainkan peran korban untuk mencapai tujuan pribadi, penuh dengan twist psikologis."
Suicide Knot,Azura Pitra,Psychological Thriller,4.07,"Misteri di balik serangkaian kasus gantung diri yang mencurigakan, mengarah pada penyelidikan mendalam tentang motif dan pelaku."
Laila Tak Pulang,Abi Ardianda,Psychological Thriller,4.2,"Kisah menegangkan tentang hilangnya Laila dan upaya putus asa untuk menemukannya, mengungkap rahasia kelam di baliknya."
Janur Ireng,SimpleMan,Horror,4.18,"Sebuah kisah horor yang berakar pada mitos dan kepercayaan tradisional Jawa, melibatkan janur (daun kelapa muda) sebagai simbol malapetaka."
Sewu Dino,SimpleMan,Horror,4.25,Kisah mistis yang menceritakan pengalaman seorang gadis yang terikat kontrak kerja misterius selama seribu hari dengan risiko yang mengerikan.
KKN di Desa Penari,SimpleMan,Horror,4.3,Pengalaman nyata (konon) sekelompok mahasiswa yang melakukan Kuliah Kerja Nyata di sebuah desa terpencil yang menyimpan rahasia gaib yang menyeramkan.
Hujan,Tere Liye,Sci-Fi/Romance,4.45,Kisah cinta dan kehilangan Lail dan Esok yang berlatar belakang bencana alam besar dan dunia futuristik.
Daun Yang Jatuh Tak Pernah Membenci Angin,Tere Liye,Romance/Drama,3.99,"Cerita tentang cinta tak terbalas dan pengorbanan, di mana seorang gadis jatuh cinta pada pria yang menjadi penyelamatnya."
Bumi,Tere Liye,Fantasy,4.31,"Petualangan epik Raib, Seli, dan Ali di Klan Bumi yang menemukan kekuatan khusus dan menjelajahi dunia paralel."
Rembulan Tenggelam Di Wajahmu,Tere Liye,Spiritual Drama,4.35,"Perjalanan spiritual dan refleksi kehidupan Ray, seorang pria kaya yang mencari jawaban atas lima pertanyaan besar dalam hidupnya."
Negeri Para Bedebah,Tere Liye,Action Thriller,4.36,"Kisah Thomas, seorang konsultan keuangan brilian, yang harus berjuang melawan intrik politik dan ekonomi untuk menyelamatkan bank pamannya."
Tentang Kamu,Tere Liye,Romance/Drama,4.61,Seorang pengacara di London menelusuri masa lalu seorang wanita misterius di panti jompo untuk mencairkan warisan besar miliknya.
Pulang,Tere Liye,Action Drama,4.44,"Kisah Bujang, anak dari Batang Hari yang menjadi tauke (bos) dan perjalanan pulang yang membawanya pada konflik keluarga dan dunia gelap."
Hafalan Shalat Delisa,Tere Liye,Drama/Religi,4.26,"Kisah inspiratif tentang Delisa, seorang gadis kecil korban tsunami Aceh yang kehilangan anggota keluarganya namun tetap teguh dalam iman."
Bulan,Tere Liye,Fantasy,4.43,"Lanjutan petualangan Raib, Seli, dan Ali saat mereka menjelajahi Klan Matahari dan menghadapi tantangan baru."
Rindu,Tere Liye,Historical Drama,4.28,Sebuah kisah kerinduan dan pencarian jati diri yang berlatar perjalanan kapal laut dari Makassar ke Mekah di tahun 1940-an.
Perahu Kertas,Dee Lestari,Romance/Drama,4.11,"Hubungan unik dan penuh tantangan antara Kugy, seorang penulis dongeng, dan Keenan, seorang pelukis, yang terhalang oleh takdir."
I For You,Ilana Tan,Romance,3.85,"Kisah cinta yang manis dan penuh pengorbanan, seringkali mengangkat tema takdir dan pertemuan yang kebetulan."
Refrain,Winna Efendi,Romance/Young Adult,3.97,Drama musik dan kisah cinta masa remaja yang berpusat pada persahabatan dan impian di dunia musik.
Winter in Tokyo,Ilana Tan,Romance,3.9,Kisah cinta yang bersemi di musim dingin Tokyo antara Keiko dan seorang tetangga misterius yang pindah ke apartemennya.
Summer in Seoul,Ilana Tan,Romance,3.88,"Petualangan cinta seorang gadis di Seoul selama musim panas, penuh dengan kesalahpahaman dan momen tak terduga."
Ai: Cinta Tak Pernah Lelah Menanti,Winna Efendi,Romance,4.02,"Cerita tentang kesetiaan dan penantian panjang dalam cinta sejati, diwarnai dengan liku-liku kehidupan."
Good Fight,Christian Simamora,Romance/Chick-Lit,3.92,"Kisah cinta yang realistis dengan konflik kuat, seringkali berpusat pada hubungan perkantoran atau kehidupan dewasa modern."
Till We Meet Again,Yoana Dianika,Romance,3.87,"Kisah tentang pertemuan kembali dua individu yang pernah saling mencintai, menggali perasaan lama dan kesempatan kedua."
Kedai 1001 Mimpi,Valiant Budi,Humor/Drama,3.98,Kisah lucu dan mengharukan seorang penulis yang mencoba peruntungan sebagai Tenaga Kerja Indonesia di luar negeri.
Manusia Setengah Salmon,Raditya Dika,Comedy/Memoir,4.09,Kumpulan cerita humor khas Raditya Dika yang mengangkat tema tentang proses pindah dari zona nyaman dan kedewasaan.
Cinta Brontosaurus,Raditya Dika,Romantic Comedy,3.94,"Kisah cinta yang kocak dan absurd, di mana sang tokoh utama berusaha memahami arti cinta dan kegagalan hubungan."
#BeraniBeda: Juki untuk Indonesia Satu,Faza Meonk,Comedy/Satire,4.1,"Petualangan Si Juki, ikon komik Indonesia, dalam kisah yang penuh satir sosial dan humor yang relevan dengan kehidupan sehari-hari."
Bumi Manusia,Pramoedya Ananta Toer,Historical Fiction,4.38,"Bagian pertama dari Tetralogi Buru, mengisahkan perjuangan Minke, seorang pribumi cerdas di era kolonial Belanda."
Laskar Pelangi,Andrea Hirata,Drama/Inspiratif,4.3,Kisah inspiratif sepuluh anak miskin dari Belitung yang berjuang mengejar mimpi dan pendidikan di tengah keterbatasan.
Anak Semua Bangsa,Pramoedya Ananta Toer,Historical Fiction,4.36,Kelanjutan kisah Minke yang semakin menyadari kondisi bangsanya dan berjuang melalui tulisan di era kolonial.
Ronggeng Dukuh Paruk,Ahmad Tohari,Drama/Budaya,4.28,"Kisah tragis Srintil, seorang penari tradisional (ronggeng) di Dukuh Paruk, dan realitas pahit kehidupan desa."
Negeri 5 Menara,A. Fuadi,Drama/Inspiratif,4.33,Kisah Alif dan kawan-kawan santri yang berjuang mewujudkan mimpi mereka dan pepatah 'man jadda wajada'.
Jejak Langkah,Pramoedya Ananta Toer,Historical Fiction,4.35,"Kelanjutan perjuangan Minke, yang kini menjadi jurnalis dan terus menyuarakan keadilan bagi bangsanya."
Ayat-Ayat Cinta,Habiburrahman El Shirazy,Romance/Religi,4.25,"Kisah Fahri, mahasiswa Indonesia di Mesir, dan konflik cinta segitiga yang diwarnai nilai-nilai Islami yang kental."
The Question of Red,Laksmi Pamuntjak,Historical Fiction/Romance,4.08,"Kisah cinta yang berlatar belakang gejolak politik dan sejarah Indonesia, penuh dengan intrik dan rahasia masa lalu."
Filosofi Kopi,Dee Lestari,Drama/Prosa,4.15,"Kumpulan cerita dan prosa yang menyentuh tentang kehidupan, persahabatan, dan pencarian makna, dengan kopi sebagai metafora."
Beauty Is a Wound (Cantik Itu Luka),Eka Kurniawan,Magical Realism,4.05,"Epik sejarah yang gelap dan magis tentang seorang pelacur yang bangkit dari kubur setelah 21 tahun, bercampur mitos dan satire."
This Earth of Mankind,Pramoedya Ananta Toer,Historical Fiction,4.38,Terjemahan Bahasa Inggris dari novel Bumi Manusia.
Hunger Games,Suzanne Collins,Sci-Fi Thriller (Terjemahan),4.33,Terjemahan novel populer tentang Katniss Everdeen dan pertarungan hidup-mati tahunan di negara Panem.
Harry Potter (series),J.K. Rowling,Fantasy (Terjemahan),4.45,"Seri novel sihir populer tentang petualangan Harry Potter, seorang penyihir muda, dan teman-temannya di Hogwarts."
Shatter Me Series,Tahereh Mafi,YA Romance/Sci-Fi (Terjemahan),4.15,"Seri novel romantis distopia tentang Juliette Ferrars, seorang gadis dengan sentuhan mematikan, dan perjuangannya."
The Selection Series,Kiera Cass,YA Romance/Dystopia (Terjemahan),4.05,Seri romantis tentang kompetisi ala Cinderella di mana 35 gadis bersaing untuk memenangkan hati pangeran kerajaan.
Hex Hall,Rachel Hawkins,YA Fantasy (Terjemahan),3.9,"Novel fantasi remaja tentang Sophie Mercer, seorang penyihir yang dikirim ke sekolah asrama reformasi untuk para paranormal."
Lisa Kleypas (series),Lisa Kleypas,Historical Romance (Terjemahan),4.1,Seri novel historical romance tentang kisah cinta di era Regency Inggris yang disukai banyak pembaca.
Maya Banks (series),Maya Banks,Romance (Terjemahan),3.95,Seri novel romance kontemporer atau historical yang dikenal dengan kisah-kisah penuh gairah dan emosi.
Elizabeth Hoyt (series),Elizabeth Hoyt,Historical Romance (Terjemahan),4.08,Seri novel historical romance yang berlatar era Regency Inggris dengan alur yang kuat dan karakter yang menarik.
Julia Quinn (series),Julia Quinn,Historical Romance (Terjemahan),4.15,"Seri novel historical romance yang menjadi inspirasi serial Netflix Bridgerton, penuh humor dan romansa."
Julia London (series),Julia London,Historical Romance (Terjemahan),4,Seri novel historical romance yang populer dengan kisah cinta yang menghibur dan latar waktu yang memukau.
Susan Elizabeth Phillips (series),Susan Elizabeth Phillips,Contemporary Romance (Terjemahan),4.12,Seri novel romance kontemporer yang dikenal dengan sentuhan komedi dan tokoh-tokoh yang kuat.
